Bioclim,Definition
H1,Mean Annual Temperature
H2,Mean Diurnal Range
H3,Isothermality
H4,Temperature Seasonality
H5,Max Temp of Warmest Month
H6,Min Temp of Coldest Month
H7,Temperature Annual Range
H8,Mean Temp of Wettest Quarter
H9,Mean Temp of Driest Quarter
H10,Mean Temp of Warmest Quarter
H11,Mean Temp of Coldest Quarter
H12,Annual Precipitation
H13,Precipitation of Wettest Month
H14,Precipitation of Driest Month
H15,Precipitation Seasonality
H16,Precipitation of Wettest Quarter
H17,Precipitation of Driest Quarter
H18,Precipitation of Warmest Quarter
H19,Precipitation of Coldest Quarter
